llm_final_state,semantic_concept,citations,state_total,global_citations,within_state_share,other_citations,other_total,other_state_share,specificity_ratio,distinctive_score
De la Espriella,alegacion software desinformacion,24,5947,42,0.004035648225996301,18,8322.0,0.0021629416005767843,1.5920775221009504,3.0658494582662654
De la Espriella,ultraderecha global respaldo,18,5947,28,0.0030267361694972256,10,8322.0,0.001201634222542658,1.8289760071256365,3.06196570522507
De la Espriella,adhesion individual centro,11,5947,13,0.0018496721035816377,2,8322.0,0.0002403268445085316,2.297517074792326,2.9649155298378265
De la Espriella,anti continuidad,11,5947,13,0.0018496721035816377,2,8322.0,0.0002403268445085316,2.297517074792326,2.9649155298378265
De la Espriella,imagen falsa seleccion,20,5947,34,0.0033630401883302506,14,8322.0,0.0016822879115597211,1.6266114347856084,2.940078839981067
De la Espriella,momentum,26,5947,49,0.004371952244829325,23,8322.0,0.0027637587118481133,1.4272839084818865,2.922658812587399
De la Espriella,movilizacion social,26,5947,49,0.004371952244829325,23,8322.0,0.0027637587118481133,1.4272839084818865,2.922658812587399
De la Espriella,instituciones,106,5947,286,0.01782411299815033,180,8322.0,0.021629416005767843,0.8318426332059294,2.828567795042728
De la Espriella,ataque desespero,16,5947,26,0.0026904321506642003,10,8322.0,0.001201634222542658,1.6762240125437984,2.789034624746919
De la Espriella,mapa departamental radio,16,5947,26,0.0026904321506642003,10,8322.0,0.001201634222542658,1.6762240125437984,2.789034624746919
De la Espriella,legalidad defensa personal,9,5947,10,0.0015133680847486128,1,8322.0,0.0001201634222542658,2.2437512552325636,2.7095220039284422
De la Espriella,corrupcion,74,5947,194,0.012443248696821927,120,8322.0,0.014419610670511895,0.8718280236822376,2.706700245969153
De la Espriella,paramilitarismo memoria,18,5947,32,0.0030267361694972256,14,8322.0,0.0016822879115597211,1.5012318968979443,2.699412687923071
De la Espriella,integridad informativa,16,5947,27,0.0026904321506642003,11,8322.0,0.0013217976447969237,1.589471915838292,2.6956720597605264
De la Espriella,riesgo desinformacion,16,5947,27,0.0026904321506642003,11,8322.0,0.0013217976447969237,1.589471915838292,2.6956720597605264
De la Espriella,personalidades,11,5947,15,0.0018496721035816377,4,8322.0,0.0004806536890170632,1.9246040615165063,2.6667002035938125
De la Espriella,agradecimiento cierre,8,5947,8,0.0013452160753321001,0,8322.0,0.0,2.3452160753321003,2.653217423908729
De la Espriella,estrategias regionales,8,5947,8,0.0013452160753321001,0,8322.0,0.0,2.3452160753321003,2.653217423908729
De la Espriella,renovar fuerzas recta final,8,5947,8,0.0013452160753321001,0,8322.0,0.0,2.3452160753321003,2.653217423908729
De la Espriella,revolucion tecnologica,8,5947,8,0.0013452160753321001,0,8322.0,0.0,2.3452160753321003,2.653217423908729
De la Espriella,competencia bipolar,20,5947,38,0.0033630401883302506,18,8322.0,0.0021629416005767843,1.3794248327362795,2.639171041241314
De la Espriella,garantias electorales,65,5947,170,0.010929880612073315,105,8322.0,0.012617159336697908,0.8760917249402069,2.6360919812227444
De la Espriella,programatica,21,5947,41,0.0035311921977467632,20,8322.0,0.002403268445085316,1.331423680165545,2.6165028417397886
De la Espriella,patria milagro vivo,12,5947,18,0.0020178241129981504,6,8322.0,0.0007209805335255948,1.7535492437069269,2.598013385030909
De la Espriella,red referidos contratistas,82,5947,228,0.013788464772154027,146,8322.0,0.017543859649122806,0.7974858013365936,2.591159133941124
De la Espriella,supersalud eps firma,18,5947,34,0.0030267361694972256,16,8322.0,0.0019226147560682527,1.3777854782730004,2.5503834833788535
De la Espriella,riesgo continuidad,62,5947,168,0.010425424583823777,106,8322.0,0.012737322758952174,0.8317067877274844,2.507624848247839
De la Espriella,contraataque,14,5947,24,0.0023541281318311754,10,8322.0,0.001201634222542658,1.5234720179619605,2.5066680468557694
De la Espriella,militares evangelicos,10,5947,14,0.0016815200941651253,4,8322.0,0.0004806536890170632,1.8110379989970922,2.478353794695286
De la Espriella,flip alerta ataques prensa,16,5947,30,0.0026904321506642003,14,8322.0,0.0016822879115597211,1.3758523590102802,2.4517389063282207
De la Espriella,patriotismo unidad,7,5947,7,0.0011770640659155877,0,8322.0,0.0,2.1770640659155873,2.4037460887996227
De la Espriella,desinformacion,132,5947,428,0.022196065242979655,296,8322.0,0.035568372987262675,0.6343204071742322,2.4022718482849226
De la Espriella,suplantacion,12,5947,20,0.0020178241129981504,8,8322.0,0.0009613073780341264,1.5386798350919377,2.389620181784232
De la Espriella,instituciones democraticas,49,5947,133,0.008239448461409114,84,8322.0,0.010093727469358327,0.8328533837638552,2.370192942763044
De la Espriella,ambiente preelectoral,14,5947,26,0.0023541281318311754,12,8322.0,0.0014419610670511895,1.3735387419101979,2.340789799015248
